Слова, частота и номера предложений:

взяла — 1 раз(а), предложения: 2
волшебный — 1 раз(а), предложения: 3
встречались — 1 раз(а), предложения: 4
девочка — 1 раз(а), предложения: 1
деревьев — 1 раз(а), предложения: 1
добрые — 1 раз(а), предложения: 3
животные — 1 раз(а), предложения: 4
жили — 1 раз(а), предложения: 3
забавные — 1 раз(а), предложения: 4
имени — 1 раз(а), предложения: 1
книги — 1 раз(а), предложения: 2
красивые — 1 раз(а), предложения: 4
лена — 2 раз(а), предложения: 1 3
лес — 1 раз(а), предложения: 3
листья — 1 раз(а), предложения: 1
любимый — 1 раз(а), предложения: 2
маленькая — 1 раз(а), предложения: 1
медленно — 1 раз(а), предложения: 1
мечтала — 1 раз(а), предложения: 3
надеждой — 1 раз(а), предложения: 4
найти — 1 раз(а), предложения: 3
наполнял — 1 раз(а), предложения: 4
новый — 1 раз(а), предложения: 4
опадали — 1 раз(а), предложения: 1
осенний — 1 раз(а), предложения: 1
отправиться — 1 раз(а), предложения: 1
полный — 1 раз(а), предложения: 2
приключение — 1 раз(а), предложения: 1
пути — 1 раз(а), предложения: 4
радостью — 1 раз(а), предложения: 4
решила — 1 раз(а), предложения: 1
рюкзак — 1 раз(а), предложения: 2
свой — 1 раз(а), предложения: 2
сердце — 1 раз(а), предложения: 4
сказках — 1 раз(а), предложения: 2
сладостей — 1 раз(а), предложения: 2
слухам — 1 раз(а), предложения: 3
тёплый — 1 раз(а), предложения: 1
феи — 1 раз(а), предложения: 3
цветы — 1 раз(а), предложения: 4
шаг — 1 раз(а), предложения: 4
